barrio,poblacion,quejas,tasa,porciento,nombre
CASCO VIEJO,10910,117,1.072,1,Casco Viejo
MILAGROSA-ARROSADIA,14819,72,0.486,0.4534,Milagrosa
ENSANCHE,22268,151,0.678,0.6325,Ensanche
MENDILLORRI,11303,61,0.54,0.5037,Mendillorri
ECHAVACOIZ,5398,26,0.482,0.4496,Echavacoiz
SAN JUAN,20478,80,0.391,0.3647,San Juan
CHANTREA,19916,79,0.397,0.3703,Chantrea
ROCHAPEA,25769,105,0.407,0.3797,Rochapea
ITURRAMA,23019,70,0.304,0.2836,Iturrama
SAN JORGE,11891,37,0.311,0.2901,San Jorge
AZPILAGAÑA,7699,28,0.364,0.3396,Azpilagaña
ERMITAGAÑA-MENDEBALDEA,16944,43,0.254,0.2369,Mendebaldea
BUZTINTXURI,8003,16,0.2,0.1866,Buztintxuri